product_id,category,color,size,season,supplier,cost_price,list_price
P000001,bottoms,black,xl,spring,supplierb,78.26,46.45
P000002,???,black,m,summer,supplierc,39.67,147.82
P000003,tops,black,xl,summer,supplierd,27.62,44.4
P000004,accessories,white,xl,winter,supplierb,7.43,68.49
P000005,accessories,,xl,fall,suppliera,12.04,76.79
P000006,shoes,black,m,fall,supplierc,68.69,188.02
P000007,tops,blue,s,fall,supplierb,13.53,44.19
P000008,???,yellow,m,fall,supplierc,50.03,169.59
P000009,tops,yellow,xs,summer,supplierb,14.11,12.25
P000010,accessories,black,s,winter,supplierd,19.63,55.4
P000011,bottoms,green,xs,summer,supplierd,41.84,117.44
P000012,tops,green,xl,fall,supplierb,9.55,144.51
P000013,accessories,white,s,fall,supplierc,59.1,111.37
P000014,shoes,black,xl,fall,supplierd,35.07,177.88
P000015,bottoms,blue,xs,spring,supplierd,32.76,144.48
P000016,shoes,white,m,spring,supplierd,31.57,133.1
P000017,bottoms,white,s,spring,supplierb,8.11,51.92
P000018,accessories,black,xl,summer,suppliera,16.49,135.15
P000019,dresses,black,l,winter,supplierb,28.12,43.52
P000020,bottoms,white,xl,spring,supplierb,66.05,43.82
P000021,shoes,white,xs,spring,supplierb,54.35,112.82
P000022,accessories,white,xs,fall,supplierb,74.05,120.82
P000023,bottoms,red,m,spring,supplierb,66.23,125.1
P000024,dresses,white,s,summer,suppliera,17.35,138.67
P000025,dresses,green,l,spring,supplierb,44.01,186.69
P000026,tops,yellow,xs,fall,supplierd,43.24,138.89
P000027,tops,blue,s,winter,suppliera,53.73,57.12
P000028,shoes,blue,l,spring,supplierb,11.13,136.84
P000029,bottoms,yellow,m,fall,supplierd,64.17,43.8
P000030,bottoms,black,s,fall,supplierd,26.34,183.35
P000031,tops,white,xl,winter,supplierd,74.45,123.27
P000032,bottoms,blue,l,fall,suppliera,74.55,12.25
P000033,???,blue,xl,fall,supplierc,20.38,186.66
P000034,dresses,green,xl,spring,supplierb,74.58,155.85
P000035,tops,green,l,summer,supplierc,30.66,10.38
P000036,accessories,red,xl,fall,supplierc,22.67,29.6
P000037,tops,yellow,l,fall,supplierb,35.43,126.98
P000038,accessories,red,xl,winter,supplierc,15.81,33.32
P000039,dresses,blue,m,spring,supplierc,44.79,30.71
P000040,shoes,black,m,spring,suppliera,19.57,126.93
P000041,bottoms,blue,s,winter,supplierd,73.33,139.64
P000042,dresses,black,xl,winter,suppliera,78.89,33.21
P000043,bottoms,blue,m,winter,suppliera,14.59,143.02
P000044,shoes,green,m,summer,supplierc,20.89,128.09
P000045,shoes,white,m,fall,supplierd,53.09,69.37
P000046,dresses,blue,xs,summer,supplierc,62.07,102.84
P000047,shoes,red,xl,summer,suppliera,57.1,110.61
P000048,accessories,black,s,spring,supplierd,16.73,145.63
P000049,shoes,black,m,spring,suppliera,26.25,149.16
P000050,bottoms,blue,l,winter,supplierc,61.42,112.8
P000051,bottoms,black,xs,fall,suppliera,18.57,131.39
P000052,bottoms,red,xl,winter,supplierd,7.5,62.65
P000053,bottoms,green,s,fall,supplierc,12.96,54.53
P000054,accessories,white,m,fall,supplierd,45.28,63.25
P000055,tops,white,l,summer,supplierc,73.49,79.45
P000056,dresses,black,xs,fall,supplierc,71.0,161.27
P000057,bottoms,blue,l,summer,supplierc,44.99,31.53
P000058,shoes,black,l,summer,supplierb,56.93,65.34
P000059,bottoms,red,xs,fall,suppliera,32.08,127.53
P000060,shoes,yellow,l,summer,supplierc,77.17,32.16
P000061,shoes,blue,m,winter,supplierb,24.44,52.81
P000062,bottoms,green,xs,fall,supplierd,51.58,149.38
P000063,accessories,red,xl,spring,supplierc,51.96,43.83
P000064,shoes,green,xs,summer,supplierd,62.34,58.14
P000065,shoes,blue,s,winter,suppliera,78.89,15.35
P000066,bottoms,green,m,summer,supplierd,27.27,40.77
P000067,shoes,red,xl,fall,suppliera,41.27,44.73
P000068,shoes,red,m,winter,supplierc,75.14,104.09
P000069,bottoms,black,m,fall,supplierb,50.51,190.79
P000070,bottoms,yellow,xs,spring,supplierd,36.81,187.52
P000071,???,blue,xl,fall,supplierb,52.49,14.83
P000072,accessories,white,xs,summer,supplierc,35.11,88.19
P000073,accessories,yellow,s,spring,supplierd,56.6,174.96
P000074,shoes,white,s,spring,supplierd,54.93,107.02
P000075,accessories,green,s,summer,suppliera,75.28,65.83
P000076,shoes,white,xs,spring,supplierb,18.28,165.99
P000077,dresses,white,xs,spring,supplierc,18.69,128.9
P000078,bottoms,red,s,summer,supplierc,26.94,197.41
P000079,bottoms,red,xs,winter,supplierd,61.12,166.75
P000080,bottoms,red,l,fall,supplierd,43.19,68.02
P000081,accessories,white,l,winter,supplierc,43.58,12.37
P000082,dresses,green,l,summer,supplierc,62.27,131.71
P000083,accessories,blue,m,summer,supplierd,67.57,190.05
P000084,accessories,black,xl,summer,supplierd,45.13,121.32
P000085,dresses,green,xl,summer,supplierd,5.11,47.63
P000086,dresses,red,xl,fall,suppliera,30.37,127.65
P000087,dresses,green,s,winter,supplierb,17.11,138.07
P000088,dresses,blue,l,winter,supplierb,54.39,93.91
P000089,bottoms,yellow,l,fall,supplierb,14.24,166.35
P000090,tops,red,xs,spring,supplierc,6.35,140.06
P000091,tops,blue,m,summer,supplierc,42.85,82.46
P000092,dresses,yellow,m,summer,supplierb,68.82,166.61
P000093,tops,black,l,winter,suppliera,69.26,116.06
P000094,tops,green,xs,spring,supplierd,62.71,91.53
P000095,dresses,black,l,fall,suppliera,61.31,82.17
P000096,tops,white,s,winter,supplierc,73.99,73.42
P000097,accessories,green,s,summer,supplierc,52.12,86.83
P000098,shoes,yellow,xl,summer,suppliera,24.05,87.38
P000099,shoes,white,xl,summer,supplierb,5.72,13.57
P000100,dresses,blue,l,summer,supplierb,13.74,24.27
P000101,bottoms,white,xl,winter,suppliera,43.04,136.92
P000102,dresses,yellow,l,winter,supplierc,29.73,38.26
P000103,bottoms,yellow,m,fall,supplierd,55.21,31.71
P000104,shoes,blue,s,winter,supplierb,44.91,70.95
P000105,dresses,black,xs,spring,suppliera,48.93,132.85
P000106,accessories,red,xs,winter,supplierd,13.01,88.82
P000107,tops,black,m,spring,suppliera,58.34,183.59
P000108,bottoms,white,l,summer,supplierb,68.8,29.72
P000109,tops,blue,s,winter,supplierb,42.08,32.32
P000110,tops,white,l,summer,supplierd,22.62,78.62
P000111,???,yellow,l,winter,suppliera,47.54,169.19
P000112,tops,red,m,fall,supplierb,40.24,97.06
P000113,accessories,green,m,summer,supplierc,11.14,119.02
P000114,tops,green,xl,summer,supplierb,54.56,163.63
P000115,dresses,green,m,summer,supplierb,56.61,117.31
P000116,???,white,xl,spring,supplierc,13.26,199.7
P000117,shoes,green,xs,fall,supplierc,75.25,197.86
P000118,tops,blue,xl,summer,supplierb,59.3,119.47
P000119,dresses,red,xl,fall,suppliera,44.2,119.48
P000120,shoes,yellow,xs,spring,suppliera,47.8,42.73
P000121,shoes,black,s,spring,supplierb,35.18,173.51
P000122,bottoms,yellow,l,summer,supplierc,67.35,13.06
P000123,accessories,blue,l,winter,supplierd,49.47,53.87
P000124,tops,red,m,summer,supplierc,17.87,72.02
P000125,dresses,black,m,winter,supplierc,57.86,19.97
P000126,bottoms,green,s,fall,supplierd,45.99,56.05
P000127,accessories,black,m,summer,suppliera,47.81,192.1
P000128,bottoms,white,l,spring,supplierc,56.69,189.89
P000129,accessories,white,xl,fall,supplierd,46.63,110.82
P000130,accessories,green,xl,winter,supplierd,5.11,189.52
P000131,tops,green,m,fall,supplierd,14.42,136.99
P000132,accessories,blue,l,summer,supplierc,52.06,13.59
P000133,bottoms,blue,xs,spring,suppliera,35.35,45.68
P000134,accessories,yellow,xs,fall,supplierc,29.67,145.87
P000135,tops,white,xl,summer,supplierb,9.22,137.65
P000136,tops,red,l,summer,supplierb,68.52,31.03
P000137,bottoms,blue,xl,summer,suppliera,6.12,44.99
P000138,shoes,red,l,summer,suppliera,32.81,194.23
P000139,shoes,yellow,xs,winter,supplierd,20.29,123.89
P000140,accessories,white,m,winter,supplierb,11.94,30.96
